"activitylabel" "subjectid" "avg(\"tBodyAccmeanX\")" "avg(tBodyAccmeanY)" "avg(tBodyAccmeanZ)" "avg(tBodyAccstdX)" "avg(tBodyAccstdY)" "avg(tBodyAccstdZ)" "avg(tGravityAccmeanX)" "avg(tGravityAccmeanY)" "avg(tGravityAccmeanZ)" "avg(tGravityAccstdX)" "avg(tGravityAccstdY)" "avg(tGravityAccstdZ)" "avg(tBodyAccJerkmeanX)" "avg(tBodyAccJerkmeanY)" "avg(tBodyAccJerkmeanZ)" "avg(tBodyAccJerkstdX)" "avg(tBodyAccJerkstdY)" "avg(tBodyAccJerkstdZ)" "avg(tBodyGyromeanX)" "avg(tBodyGyromeanY)" "avg(tBodyGyromeanZ)" "avg(tBodyGyrostdX)" "avg(tBodyGyrostdY)" "avg(tBodyGyrostdZ)" "avg(tBodyGyroJerkmeanX)" "avg(tBodyGyroJerkmeanY)" "avg(tBodyGyroJerkmeanZ)" "avg(tBodyGyroJerkstdX)" "avg(tBodyGyroJerkstdY)" "avg(tBodyGyroJerkstdZ)" "avg(tBodyAccMagmean)" "avg(tBodyAccMagstd)" "avg(tGravityAccMagmean)" "avg(tGravityAccMagstd)" "avg(tBodyAccJerkMagmean)" "avg(tBodyAccJerkMagstd)" "avg(tBodyGyroMagmean)" "avg(tBodyGyroMagstd)" "avg(tBodyGyroJerkMagmean)" "avg(tBodyGyroJerkMagstd)" "avg(fBodyAccmeanX)" "avg(fBodyAccmeanY)" "avg(fBodyAccmeanZ)" "avg(fBodyAccstdX)" "avg(fBodyAccstdY)" "avg(fBodyAccstdZ)" "avg(fBodyAccJerkmeanX)" "avg(fBodyAccJerkmeanY)" "avg(fBodyAccJerkmeanZ)" "avg(fBodyAccJerkstdX)" "avg(fBodyAccJerkstdY)" "avg(fBodyAccJerkstdZ)" "avg(fBodyGyromeanX)" "avg(fBodyGyromeanY)" "avg(fBodyGyromeanZ)" "avg(fBodyGyrostdX)" "avg(fBodyGyrostdY)" "avg(fBodyGyrostdZ)" "avg(fBodyAccMagmean)" "avg(fBodyAccMagstd)" "avg(fBodyBodyAccJerkMagmean)" "avg(fBodyBodyAccJerkMagstd)" "avg(fBodyBodyGyroMagmean)" "avg(fBodyBodyGyroMagstd)" "avg(fBodyBodyGyroJerkMagmean)" "avg(fBodyBodyGyroJerkMagstd)"
"LAYING" 5 0.279630063074803 -0.0173195859320984 -0.104818611112992 -0.420736146536614 -0.318287010514173 -0.601198678200787 0.661199844212598 0.117214454883464 0.0768551239212091 -0.963593676929135 -0.945194285551181 -0.944592313346457 0.0862993006637795 0.0039040638984252 -0.00472804147683465 -0.502308528170472 -0.426015252362598 -0.750364442047244 -0.0285236761320866 -0.080718819996063 0.0892907444673229 -0.670785739444882 -0.662201720511811 -0.551571726649606 -0.105534142230315 -0.0506916249417323 -0.0522618351720473 -0.609227750122048 -0.738397474370079 -0.492662001760629 -0.37651387504626 -0.454280642547244 -0.37651387504626 -0.454280642547244 -0.519611345834646 -0.521333904827559 -0.547030442785039 -0.625837043491732 -0.659587126968504 -0.693469340511811 -0.473142146889764 -0.357071031661811 -0.653517967834646 -0.402762892701181 -0.342266331609842 -0.606181782700787 -0.536619482757874 -0.478631741208425 -0.73255236507874 -0.511378129051181 -0.407473658896772 -0.766592359015748 -0.578278733388189 -0.674783462598426 -0.468615324340827 -0.701039830748031 -0.658574961417323 -0.624491792519685 -0.458140868263779 -0.539175935144094 -0.502876282548583 -0.550031592244095 -0.634188194025197 -0.687026287086614 -0.710072772440945 -0.695495676850394
"LAYING" 6 0.272376614181538 -0.0175697042641846 -0.11599454136 -0.505086085072062 -0.368403670137262 -0.672512004586708 0.688702063569231 0.0162055455953846 0.0475199990906461 -0.958898709015385 -0.9509348864 -0.937910223507693 0.0813833604034769 0.000479281129661539 -0.00225896302076923 -0.531468310262154 -0.454437496885816 -0.738955207627692 -0.0433611785374462 -0.0706129097498461 0.0973130293888923 -0.653800660041539 -0.626252072652308 -0.599910232855693 -0.0829159966093231 -0.0454921005615385 -0.0533610323667692 -0.546009968372308 -0.677635980501538 -0.526908306306892 -0.464770006998123 -0.483790606354154 -0.464770006998123 -0.483790606354154 -0.551413652396923 -0.50293506231077 -0.549494852037046 -0.579837818063692 -0.621936158532308 -0.644474485460493 -0.506174926221538 -0.392041410138769 -0.683725945015384 -0.506680276530493 -0.396677793847908 -0.694365207233846 -0.549394273848923 -0.503558973703692 -0.720867157741539 -0.555346159400332 -0.437837459287384 -0.755751144098461 -0.537201442069846 -0.621188724858461 -0.507604207506462 -0.692862440004 -0.633236229753846 -0.67302031484 -0.473974924380431 -0.570910289993846 -0.494882316238462 -0.516711262173969 -0.579130051151384 -0.657368673849846 -0.651886909221538 -0.660175875210247
"LAYING" 7 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981 0.681289120844156 -0.0420221452496753 0.0342160711928604 -0.956538178587663 -0.955312554090909 -0.923304724090909 0.0831829573168831 0.00760909767418831 -0.00791725696048702 -0.615131377408279 -0.622997416262014 -0.664336860544416 -0.0518716929407792 -0.0646077113078896 0.0977671721406168 -0.687155474097402 -0.652408657909091 -0.663340760331169 -0.0942037376182662 -0.0414401406082792 -0.0610307928148701 -0.701731200484416 -0.674920114957467 -0.750808705594156 -0.511312036747403 -0.510669879158539 -0.511312036747403 -0.510669879158539 -0.622815767680292 -0.550560230585714 -0.581899897967533 -0.598670795839286 -0.713191348337663 -0.658017844948376 -0.593011288564935 -0.563547785174026 -0.531005941495552 -0.572347541484091 -0.567046977262987 -0.460792123277305 -0.637521940243831 -0.641687333850227 -0.642515716574286 -0.626785744584416 -0.628531630719481 -0.684856438953896 -0.643767578493507 -0.630419275006169 -0.655083354905844 -0.703883646896104 -0.671161922837662 -0.698949518905844 -0.518323878824675 -0.583819796092207 -0.553360009658182 -0.550683254908442 -0.628877272791137 -0.650923648207792 -0.668879188156396 -0.668963362464935
"LAYING" 8 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167 0.647498175409253 0.0303211113118861 0.0836542406807935 -0.954256666035587 -0.94844645047331 -0.923180663601424 0.084215745375516 0.000860301581786478 -0.0196719912994306 -0.575993073911744 -0.458724925167971 -0.66835678475516 0.00359053897160142 -0.0910775098326691 0.0640867611561921 -0.65621924228185 -0.570941237019217 -0.511392038012812 -0.104969855200356 -0.0400922240331673 -0.0582887148366548 -0.674984452240213 -0.683086930288968 -0.695970301754448 -0.468522592843416 -0.554038979266193 -0.468522592843416 -0.554038979266193 -0.534248616612028 -0.564471999961566 -0.476214943826192 -0.581422885341282 -0.673625525658363 -0.715838385516014 -0.581831414648399 -0.374944236206406 -0.550979388719929 -0.585343460535587 -0.378656458967972 -0.513206312959075 -0.59163500910605 -0.495906215569395 -0.644285802406762 -0.598546245236655 -0.45636839585694 -0.691480916950178 -0.601382421248398 -0.575938482711388 -0.525562919047438 -0.675275353078292 -0.573087292172598 -0.553968587869751 -0.51210679285694 -0.651638076286121 -0.529244911130604 -0.618027414911032 -0.609984289180071 -0.636673891144128 -0.702156215467259 -0.755717299964412
"LAYING" 11 0.27658531139557 -0.0191272531933228 -0.108941761642405 -0.58947649779557 -0.490379346996835 -0.665324314227848 0.730526184936709 0.0527387028613925 0.140209861246835 -0.975394457689874 -0.957138770727848 -0.956812000411392 0.0830134540658228 0.0078044254343038 -0.00657424975259494 -0.659323083055064 -0.608784226719937 -0.842511816044304 -0.0547328440272469 -0.0582275770813291 0.087284109682356 -0.739922126628797 -0.703501766487342 -0.725016008797468 -0.0805473309873417 -0.0493914065474683 -0.0480140167267405 -0.781738140601265 -0.868377254082279 -0.795490882468354 -0.542825032813607 -0.612882270912658 -0.542825032813607 -0.612882270912658 -0.679819504547468 -0.664241760370254 -0.628367851066456 -0.696771378957912 -0.826829028481013 -0.866905012626583 -0.619524028324684 -0.531455265662532 -0.750026145791139 -0.579491754749367 -0.502570240243355 -0.652095671108545 -0.676672987166456 -0.632374688606012 -0.825559590221519 -0.672195644346518 -0.609444998247784 -0.858259630601266 -0.709949332117088 -0.776852868955697 -0.708842979272152 -0.751758277167722 -0.670892713066772 -0.75596062835443 -0.611528074359177 -0.674470159009494 -0.656133473274683 -0.676925075857595 -0.757585939588608 -0.711267219682279 -0.864827011392405 -0.879254016740507
"LAYING" 14 0.270184596009288 -0.0162548178510526 -0.100985935692074 -0.611671118216099 -0.374730765205078 -0.29354271467452 0.672081224882353 -0.111701388781115 -0.161179728291022 -0.941245714736842 -0.942377305312694 -0.91592784616099 0.0741757467665015 0.00443682723817956 -0.00253044692473994 -0.641964198633003 -0.586459622773685 -0.656855586102105 0.000253671358297218 -0.0954921154823529 0.0606712446996904 -0.728661379340557 -0.398959362766099 -0.364478192502167 -0.107556127062003 -0.0433200489340216 -0.0450693836894427 -0.7862917325387 -0.6979155314613 -0.638299064788854 -0.453262620331889 -0.474058613408978 -0.453262620331889 -0.474058613408978 -0.608973420309907 -0.605144269857245 -0.416459776709257 -0.471486714606811 -0.700520939854799 -0.727023009383901 -0.619513271851703 -0.455237617000929 -0.440650672343653 -0.609406374110062 -0.376829989404644 -0.275013722171486 -0.654385009392879 -0.598699531399381 -0.618712162187306 -0.661460356953251 -0.60215894382322 -0.694424996467802 -0.699166400749226 -0.50463317018839 -0.423918214384521 -0.74005220985449 -0.348864187370185 -0.407672097170898 -0.490874179820434 -0.548269930770588 -0.596896308848452 -0.619215144539319 -0.543030528985449 -0.516930495917399 -0.717590101802972 -0.760560087962849
"LAYING" 15 0.279976964145985 -0.012712482689708 -0.112391859715328 -0.653990049270073 -0.569926948260365 -0.730046803284672 0.651402580978102 0.153266749970803 0.162484504481752 -0.97113582 -0.956366745182482 -0.941476692846716 0.0818473621124088 0.0052839871100511 -0.00643331829988321 -0.716638333452555 -0.65963664086781 -0.842202869927007 -0.0445153235718978 -0.0702380626848175 0.0916326979165693 -0.747200231248175 -0.814280201167883 -0.724824561459854 -0.092835430319708 -0.0435664378991241 -0.0537374576029197 -0.769322147445255 -0.892602037007299 -0.803485068321168 -0.61528267079562 -0.636571051824817 -0.61528267079562 -0.636571051824817 -0.727363095240876 -0.695938170943796 -0.701310141416058 -0.74850361370073 -0.839954714963504 -0.861618193430657 -0.680826914576643 -0.592156376119781 -0.759205872773723 -0.644831775839417 -0.585888980015694 -0.736011005109489 -0.731647584821898 -0.674236262951825 -0.825139146569343 -0.726722784423357 -0.667249719904891 -0.858011798686132 -0.722777473984672 -0.828110011240875 -0.717505943357664 -0.756897224394161 -0.807986997591241 -0.75305706080292 -0.641088400423358 -0.691852659226277 -0.692385007264963 -0.702462887007299 -0.790857412627738 -0.764901179510949 -0.863591386350365 -0.869051609708029
"SITTING" 1 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227377 -0.502645746562825 0.744867411573487 -0.0825562579855908 0.072339870389049 -0.959859435936599 -0.951150627458213 -0.925817590867435 0.0770930495126802 0.0165908438802305 -0.00910758730117003 -0.524721922818732 -0.47041240351124 -0.717322274881844 -0.0208764064320173 -0.0880722729400576 0.0862641666597983 -0.686555715201729 -0.450979810499567 -0.597496136795101 -0.0971120197265995 -0.0417164808293948 -0.0471393985477522 -0.637812687210375 -0.634472244550432 -0.664591977786455 -0.453632943768819 -0.497096402038328 -0.453632943768819 -0.497096402038328 -0.545431612066571 -0.515922167555159 -0.475404785802305 -0.499839593745821 -0.639517432642651 -0.652050770910664 -0.531895161258212 -0.406435448904438 -0.596411165253602 -0.5530606166634 -0.39015093964706 -0.498583091676081 -0.547348892435764 -0.507343617969859 -0.695305113832853 -0.543979776127868 -0.466251676533372 -0.737861932680115 -0.623219182311528 -0.50530943407003 -0.553529065425649 -0.708263420861671 -0.429825832648703 -0.650476162132565 -0.478448523354179 -0.589710231217867 -0.499075765624092 -0.541823079570029 -0.535002770337752 -0.566576670397695 -0.645970655298847 -0.685811262634006
"SITTING" 3 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255 0.707814353343109 -0.0260590480328739 0.0480937904190615 -0.966457565630499 -0.944564537126099 -0.926966278211144 0.0701731261988857 0.0144664329060411 -0.000526818872875367 -0.635484688041057 -0.557211867737829 -0.796066240234605 -0.0248490682828446 -0.0743565308442815 0.0866875497119061 -0.699262195705865 -0.76302218170088 -0.70948344032258 -0.0991554609633432 -0.0401923943695015 -0.0521178264170088 -0.689328428607039 -0.842659862111437 -0.743028500565983 -0.563140802770059 -0.591224780306451 -0.563140802770059 -0.591224780306451 -0.650182434328446 -0.607658214170382 -0.643150121648094 -0.674010290979472 -0.784056656246334 -0.80366136372434 -0.625733289873608 -0.501779938505279 -0.699656828592375 -0.623805015199414 -0.502753639795894 -0.657443765803519 -0.645893496630498 -0.582949919157742 -0.780101644193549 -0.657844055881525 -0.559851186088407 -0.81080601659824 -0.642097719778592 -0.775144985073315 -0.670734708996481 -0.719276622702346 -0.758505287214076 -0.751008875659824 -0.579076453758065 -0.663079838985044 -0.604752108072727 -0.615643694857361 -0.716822144279179 -0.703839403007038 -0.810085498651027 -0.810032718739003
"SITTING" 5 0.276785583125 -0.005766573425 -0.110123277 -0.96782717125 -0.8495421034375 -0.885864897291667 0.893701306875 0.0863768250020833 0.173152830979167 -0.970108269166667 -0.912348591895834 -0.928777362916667 0.0724745541666667 -0.00954991567916667 0.00643545228354167 -0.965261992083333 -0.932677545833334 -0.965524045208333 -0.034362413468125 -0.060037007875 0.0725295381458333 -0.917229929791667 -0.935490241875 -0.897727214166667 -0.09287993275 -0.04044141145625 -0.0419685479583333 -0.944910566458333 -0.963115649166667 -0.945780093125 -0.9072319425 -0.877979150208333 -0.9072319425 -0.877979150208333 -0.95815639375 -0.947263148958334 -0.897726948958334 -0.866438807916666 -0.960306084583333 -0.949654385416667 -0.9644933675 -0.880294840833333 -0.921881734166667 -0.969434390625 -0.8449443217375 -0.877789434166667 -0.965398998958333 -0.933898179791667 -0.960373570416666 -0.968376470208333 -0.936142120833333 -0.969455855833333 -0.917780636875 -0.94078710875 -0.900939667916667 -0.919352777083333 -0.933617872291667 -0.906747881666667 -0.900836090208333 -0.88574355125 -0.945179785416666 -0.949260060416667 -0.905784102916667 -0.867627704583333 -0.953915985 -0.947885417291666
